company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
i2e Consulting,Content Writer/ Sr.Content Writer,Remote,14.141666666666666,"Project portfolio management, Content creation, SEO, AI, Communication skills",4.2,Content Writer
Guires Solutions Private Limited,Freelance Academic Content Writer (PhD Level -Engineering),Remote,3.7941968911917097,"Microsoft Word, Google Docs, Writing skills, Machine learning",0.0,Content Writer
Accunai India,Technical Writer - AI/ML & Data,India,3.9,"Software deployment, Writing skills, Machine learning, Technical writing, AI",0.0,Content Writer
Sprinto,Technical Writer - Remote,Remote,14.141666666666666,"Information security, Communication skills",4.2,Content Writer
Pearson,Editorial Administrator,Noida,5.855,"English, Research, Communication skills",3.7,Content Writer
BlackBerry,QNX- Embedded Technical Writer (Automotive/General Embedded),Hyderābād,7.0,"ADAS, C++, C, Perl, Technical writing",3.5,Content Writer
Cybrosys Technologies,Content Writer,Kerala,21.94666666666667,"Microsoft Word, Google Docs, English",4.3,Content Writer
Aristocrat,Technical Writer,Gurgaon,16.446272727272728,"XML, Journalism, English, Research, Microsoft Office",3.7,Content Writer
Logiccircle Pvt Ltd,Academic Writer || Freelancer,Calcutta,12.0,"Mechanical engineering, Service writing, Computer science, MATLAB, Civil engineering",3.7,Content Writer
[x]cube LABS,Content Writer,Hyderābād,48.0,"Social media marketing, Lead generation, Research, AWS, Analysis skills",4.4,Content Writer
Ably Soft,Associate Content Writer,India,13.733333333333333,"Web design, English, Research, Technical writing, Communication skills",3.6,Content Writer
RockYou,Content Writer/Editor (Contract/Intern),Bengaluru,13.158666666666667,"Writing skills, English, Communication skills",5.0,Content Writer
[x]cube LABS,Technical Writer,Hyderābād,6.0,"Microsoft Powerpoint, XML, Microsoft Office, AWS, Product development",4.4,Content Writer
Seertech Systems,Video Editor,Thāne,1.5,"Microsoft Powerpoint, Adobe Photoshop, Adobe Captivate, English, Communication skills",0.0,Content Writer
Simplify360 (A Nextiva Company),Senior Technical Writer,Bengaluru,42.0,"Telephony, Product development, Release management, Software development, Technical writing",4.5,Content Writer
Projectitude,Academic Writer (Freelancer),Remote,2.7,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Research, Microsoft Office",0.0,Content Writer
Ebizon NetInfo Pvt. Ltd,Freelance AI Indian Writers,Remote,16.446272727272728,"English, Content creation, Proofreading, AI, Time management",3.7,Content Writer
Aegis Software,Content strategist / Content writers,Remote,3.0,"Keyword research, Content creation, Content marketing, SEO tools, Proofreading",0.0,Content Writer
TheQnA.Org,Content Writer Internship,Remote,0.06,"Creative writing, Writing skills, English, Proposal writing, Technical writing",0.0,Content Writer
BP Energy,Engineering Technical Editor - TSI,Pune,7.0,"Microsoft Word, English, Technical writing",3.9,Content Writer
HORECASTORE,Ecommerce Product Content Writer,Remote,2.1,"Keyword research, Writing skills, English, Research, Content creation",0.0,Content Writer
Brain Insight,Technical Content Writer,Vellore,1.5,"Writing skills, English, Research, Organizational skills",0.0,Content Writer
WordsCloud,Freelance Technical Writer,Remote,3.3,"Creative writing, Research, SEO, Technical writing, Proofreading",0.0,Content Writer
Kriya Informatics,Research Writer / Developer Expert,Nagercoil,2.22,"MATLAB, Internet of things, Big data, Research, Software development",0.0,Content Writer
Thirsty Crowz,Technical Content Writer,Villupuram,1.5,"English, Technical writing, Proofreading",0.0,Content Writer
Softowell,Senior Content Writer,Lucknow,0.96,"Keyword research, Writing skills, English, SEO, Google Search Console",0.0,Content Writer
Tyler Petroleum,Content Writer,Manjeri,2.5,"Creative writing, English, Microsoft Office, Content creation, Technical writing",3.0,Content Writer
Stryv Solutions Pvt. Ltd.,Technical Writer,India,8.5,"Creative writing, Proposal writing, Technical writing, Proofreading",0.0,Content Writer
GUVI,Technical Content Writer,Remote,2.7,"Writing skills, Content management systems, English, Research, Technical writing",0.0,Content Writer
LatestLY Media Pvt Ltd,Content Writer - Sports Vertical,Remote,4.98,"WordPress, Writing skills, Content management systems, English",0.0,Content Writer
Job Matchmakers,Technical Writer - Remote,Remote,4.2,"Microsoft Word, Google Docs, Technical writing, APIs, Agile",0.0,Content Writer
Capital Placement Services,"Technical Writer For IT Company in sector-48,Gurgaon(WFH)",Gurgaon,7.0,"Microsoft Powerpoint, Interviewing",0.0,Content Writer
Templatic,Technical Writer,Remote,21.802622222222222,"Web design, Adobe Photoshop, Bootstrap, WordPress, English",3.5,Content Writer
Coderower Software Pvt Ltd,Technical Writer,Remote,2.5,"Software development, Technical writing, APIs, Proofreading, SaaS",0.0,Content Writer
APPNEURAL Pvt. Ltd.,Technical Writer Intern,Remote,0.78,"Microsoft Word, Computer science, Git, English, Confluence",0.0,Content Writer
Sofueled Media Pvt Ltd,Technical Writer Internship,Remote,0.48,"Social media marketing, WordPress, Social media management, Research, Content creation",1.2,Content Writer
Hippo Innovations Pvt Ltd,Technical Content Writer,Remote,6.0,"PCI, English, SEO, Technical writing, Google Analytics",0.0,Content Writer
MDI NetworX,Technical Writer - 1 position,Pune,5.5,,3.7,Content Writer
Larsen & Toubro,Technical Writer - Documentation & Training,India,4.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, XML, English",3.4,Content Writer
Implovate EduTech India,Content Writer,Remote,3.7941968911917097,"English, Hindi",0.0,Content Writer
Just Compile LLP,Technical Writer,Remote,1.5,"Microsoft Word, CSS, XML, Visio, Git",0.0,Content Writer
Devolv Studio,Creative Content Writer,Remote,3.7941968911917097,,0.0,Content Writer
Technvosys,Technical Assignment Writer,Remote,2.64,"Curriculum development, Writing skills, Research, Analysis skills, Python",0.0,Content Writer
Rite Software Solutions & Services (IN),Technical Writer,Hyderābād,5.0,Cloud infrastructure,4.1,Content Writer
NLB,Technical Writer,Bengaluru,6.5,"XML, Creative writing, Technical writing, Proofreading, Communication skills",3.8,Content Writer
JUTEQ Inc,Content Research & Writer,Remote,2.76,"English, Research, AI, Communication skills, Python",0.0,Content Writer
CyberPoint Pvt.Ltd,Website Content Writer,Gurgaon,1.5,"Content management systems, English, Research, SEO, Technical writing",0.0,Content Writer
BookMyShow,Technical Writer - I,Mumbai,16.19707317073171,"Jira, Microsoft Word, Microsoft Excel, English, Confluence",4.0,Content Writer
