company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Bosch Group,Backend Developer-Support Engineer,Telangana,19.774,".NET, SQL, PostgreSQL",4.1,Support Engineer
AlphaSense India,Customer & Product Support Analyst,Pune,7.0,"Analysis skills, AI, Communication skills, Time management",3.8,Support Engineer
AlphaSense,Customer & Product Support Analyst,Pune,7.0,"Analysis skills, AI, Communication skills, Time management",3.8,Support Engineer
Barclays,Application Support Analyst,Pune,7.5,"Oracle, Business intelligence, SAS, DB2, Microsoft SQL Server",3.9,Support Engineer
CIRCOR,IT Support Analyst,Coimbatore,42.0,"ERP systems, Network infrastructure, Project management, Team management, Data analytics",3.7,Support Engineer
NTT DATA,IT Support Analyst,India,20.791818181818183,"Spanish, SAP, English, SQL, AWS",3.8,Support Engineer
"PRGX Global, Inc",Support Analyst,Pune,5.5,"Microsoft Excel, Microsoft Access, Microsoft Outlook, Business intelligence, Accounts payable",3.5,Support Engineer
Gallagher,Business Analyst Lead: Technical Support,Bengaluru,6.0,"Business analysis, Technical support, Analysis skills, Project management",3.6,Support Engineer
Kinaxis Inc.,"Manager, Customer Support - Analytics",India,23.336363636363636,"Management, Customer service, Supply chain, Windows, Microsoft Office",4.0,Support Engineer
NASDAQ,Senior Customer Support/Operations Specialist,Mumbai,5.5,"JBoss, English, Java, SQL, Quality assurance",4.1,Support Engineer
Thomson Reuters,Platform Support Analyst,Bengaluru,42.0,"Data modeling, DevOps, Alteryx, Git, Java",4.1,Support Engineer
BLACK HOLE INFOSYSTEMS,Cloud Support Engineer,Chennai,2.22,Cloud infrastructure,0.0,Support Engineer
Talentxo,"Product Support Engineer (RDBMS, SQL, Cloud Technologies)",Remote,30.0,"Performance tuning, Azure, Oracle, Microsoft SQL Server, Databases",3.7,Support Engineer
DigitalOcean,Cloud Support Engineer,Hyderābād,5.0,"Jira, Cloud infrastructure, Incident management, Salesforce, Debian",3.7,Support Engineer
ASWAT,L1 Support Engineer,Remote,4.073035714285714,"English, VoIP, IT support, Computer networking, APIs",0.0,Support Engineer
Stacknize Solution LLP,Application Support Engineer Intern,Remote,4.073035714285714,"Software troubleshooting, Business analysis, Java, Quality assurance, Linux",0.0,Support Engineer
"AmvionLabs Pvt Ltd.,",Cloud Support Engineer,Chennai,3.0,"CI/CD, Cloud infrastructure, Azure, Ansible, DevOps",0.0,Support Engineer
Fluid.Live Solutions Pvt Ltd,Cloud Support Engineer,Pune,4.2,"Jira, Network administration, TCP, Cloud infrastructure, Azure",4.4,Support Engineer
Barclays,Public Cloud Support Engineer,Pune,7.0,"CI/CD, Azure, Incident management, Kubernetes, Git",3.9,Support Engineer
