company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Kenvue,"Solution Design Manager, R&D Digital Platforms & Product Development",Bengaluru,750000.0,"Image processing, Computer vision, Big data, System architecture, Product development",3.6,Manager Roles
Polygon,Project Manager,Remote,0.0,"CI/CD, Kanban, Microservices, Product development, Continuous integration",3.3,Manager Roles
[x]cube LABS,Project Manager,Hyderābād,450000.0,"Mobile applications, Application development, AWS, Project management, Presentation skills",4.4,Manager Roles
Tech Alchemy,Technical Project Manager,Pune,450000.0,"Hospitality, Azure, Kanban, Business analysis, AWS",4.2,Manager Roles
Boston Consulting Group,¿Global IT Platform Engineer Manager¿,Gurgaon,850000.0,"JavaScript, REST, APIs, ServiceNow, Agile",4.3,Manager Roles
Larsen & Toubro,Manager - Business Analytics,India,2500000.0,"Power BI, Microsoft Excel, Business intelligence, Data analysis skills, SQL",3.4,Manager Roles
Genpact,"Assistant Manager, Reporting Operations Analyst",Bengaluru,3000000.0,"Power BI, Business intelligence, Alteryx, Data analysis skills, Tableau",3.9,Manager Roles
CRISIL,Business System Analyst - Manager - Ratings,Mumbai,800000.0,"Power BI, Data modeling, Business intelligence, Business analysis, Tableau",3.8,Manager Roles
S&P Global,Assistant Manager,Hyderābād,950000.0,"Microsoft Excel, Management, Lean, Tableau, SQL",4.1,Manager Roles
PepsiCo,Associate Manager,Hyderābād,0.0,"Microsoft Powerpoint, Power BI, Microsoft Excel, Azure, APIs",3.9,Manager Roles
Kelly Services Internal,"Manager, Risk Intelligence",Bengaluru,0.0,"Customer service, Data analysis skills, SOX, Organizational skills, Workers' compensation",3.3,Manager Roles
Computacenter,Project Manager,Bengaluru,900000.0,"Test management tools, English, Functional testing, Project management, ITIL",3.7,Manager Roles
Maruti Suzuki India Ltd,Sr. Manager / Assistant General Manager (Business Analytics),Delhi,0.0,"Power BI, Research, Tableau, SQL, Team management",3.8,Manager Roles
Deloitte,Taxonomy – Assistant Manager,Hyderābād,450000.0,"CRM software, Management, Business intelligence, SAP, Salesforce",4.0,Manager Roles
Vodafone,Manager,Pune,550000.0,"Business intelligence, Salesforce, Git, Software development, Agile",3.9,Manager Roles
GD Research Center,Project Manager,Hyderābād,400000.0,"Microsoft Powerpoint, Project planning, Research, Analysis skills, Communication skills",3.4,Manager Roles
LeanDNA,Sr. Implementation Manager,Remote,0.0,"Jira, Supply chain, ERP systems, SQL, Project management",4.8,Manager Roles
Infogain,Business Analysis Manager,Bengaluru,0.0,"Azure, Business analysis, Data analysis skills, Magento, E-Commerce",3.7,Manager Roles
ABBYY,Technical Success Manager Lead,India,0.0,"Image processing, Software troubleshooting, Microsoft Office, Project management, Machine learning",2.7,Manager Roles
Genpact,Manager/Reporting Operations Analyst,Bengaluru,3000000.0,"Power BI, Business intelligence, Alteryx, Data analysis skills, Tableau",3.9,Manager Roles
Simeio Solutions,IAM Operations Manager,Bengaluru,650000.0,"Microsoft Powerpoint, Management, Project management, Project implementation, Microsoft Project",4.5,Manager Roles
Triumph Solutions(IN),Project Manager,Chennai,600000.0,"Project management, Scrum, Agile, Communication skills",3.4,Manager Roles
Bunge,Manager - Sustainability BBS Analytics,Punjab,0.0,"Jira, Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Business intelligence",4.2,Manager Roles
Zelis,Data Ops Manager,Hyderābād,0.0,"TensorFlow, Azure, Operations management, R, Java",3.8,Manager Roles
ChartRequest,Product Analyst/Associate/Owner/Manager,Remote,1500000.0,"Business analysis, Healthcare management, B2B, Organizational skills, Software development",3.5,Manager Roles
Dentsu,Data and Analytics Manager,Bengaluru,650000.0,,3.7,Manager Roles
Ekya Schools,School Administrator - Assistant Manager,Bengaluru,390000.0,"Education administration, Operations management, Procurement, Housekeeping management",,Manager Roles
KPMG,Assistant Manager - Government Technology,Gurgaon,549000.0,Database administration,3.7,Manager Roles
Deloitte,Windows Administrator Specialist - Assistant Manager,Hyderābād,834000.0,"Microsoft Windows Server, System administration, Azure, Oracle, Operations management",4.0,Manager Roles
WebTown Solutions,Ecommerce Project Manager,Chandaka,450000.0,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, CSS, XML",2.0,Manager Roles
Peopleclick Learning,Manager - HR & Admin,India,390000.0,"Succession planning, Employee relations, Human resources management, Human resources, Recruiting",,Manager Roles
